U.S. Custom Ports,Coast,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Aberdeen, WA",P,0,0,0,0,0,8,0,0,0,29,0,16,414,645,855,43,505,383
"Anacortes, WA",P,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"Anchorage, AK",AK,0,0,0,"3,135","28,495","4,949","1,185",824,663,"1,208",540,"2,302","5,471","13,274","6,792","11,646","15,823","18,779"
"Baltimore, MD",A,"1,899,689","1,942,158","2,189,129","2,077,996","2,641,888","2,640,988","2,824,549","2,756,330","2,855,096","2,380,630","2,929,029","3,108,746","3,243,542","3,438,606","3,691,480","3,977,777","4,264,068","4,871,362"
"Baton Rouge, LA",G,8,0,959,21,3,149,"1,562",0,0,"1,164","6,456","2,587",12,"1,987",72,0,27,0
"Beaufort-Morehead City, NC",A,0,546,"1,576",583,226,623,18,126,279,0,268,866,371,0,667,0,0,0
"Beaumont, TX",G,484,728,"2,132",11,321,0,453,"2,156","1,844","2,539","3,286","2,369","6,790","1,292","1,191",866,"2,491",68
"Boston, MA",A,"474,481","445,233","482,379","502,805","600,838","593,611","649,651","735,007","717,963","658,087","645,928","749,458","764,612","765,678","831,223","915,182","957,981","1,014,131"
"Brunswick, GA",A,0,0,15,19,5,120,54,138,7,18,367,626,267,797,"6,885","6,453","1,623",784
"Camden, NJ",A,"3,486","3,958","2,513","2,990","7,780","2,277","19,793","13,522","14,899","21,504",476,342,455,0,"2,124",0,0,0
"Charleston, SC",A,"4,973,605","4,889,872","5,277,534","5,450,765","6,416,369","6,893,467","6,721,235","5,893,683","5,388,496","3,920,396","4,332,778","4,642,272","4,975,032","5,153,465","5,814,406","6,461,162","6,823,275","7,445,505"
"Chester, PA",A,"341,344","316,084","349,902","433,516","516,801","586,671","534,379","533,903","504,574","341,682","457,783","462,994","264,700","395,050","544,963","613,126","706,530","874,515"
"Corpus Christi, TX",G,0,70,517,211,319,0,"1,737","5,036","1,593","1,901","1,730","2,475","6,634",143,340,773,39,"2,405"
"Everett, WA",P,"8,574","4,151",614,0,773,0,"7,943",824,"8,026","9,328","9,324","11,188","2,861","11,323","9,131","22,288","7,459","6,960"
"Fernandina Beach, FL",A,"85,773","76,785","56,348","44,571","42,378","75,027","81,672","42,690","12,350","5,554","5,587","5,292","2,392","5,196","8,700","9,366","8,503","9,768"
"Fort Pierce, FL",A,55,2,14,449,"1,065","4,147","6,252","10,929","16,300","18,710","13,379","15,934","11,371",80,19,0,0,0
"Freeport, TX",G,"212,757","168,625","260,766","248,360","238,861","246,593","238,187","278,140","283,551","306,963","271,316","259,077","301,271","434,492","338,870","333,692","319,436","328,580"
"Galveston, TX",G,"19,515","60,705","112,931","47,844","59,816","33,900","61,412","40,135","57,507","56,835","71,625","101,137","79,085","131,533","132,091","165,464","165,836","155,791"
"Gloucester City, NJ",A,127,"8,489",212,"1,120",356,0,"5,856","39,530","33,276","10,939","52,521","59,876","34,677","96,723","226,319","291,457","300,570","597,566"
"Gramercy, LA",G,8,"55,550","5,065","66,308","12,773","13,556","20,717","18,567","13,482","8,285","10,019","8,305","3,608",12,0,0,0,0
"Gulfport, MS",G,"634,893","659,899","763,341","803,559","906,018","826,931","772,073","817,838","852,571","804,467","809,775","848,943","781,941","801,671","763,230","525,906","643,501","794,162"
"Honolulu, HI",HI,"106,499","109,875","126,922","144,067","160,864","179,167","182,055","180,764","174,382","145,532","141,168","143,351","141,677","148,959","174,229","172,878","177,793","181,302"
"Houston, TX",G,"3,564,047","3,655,993","4,126,220","4,430,084","5,262,601","5,957,453","6,280,562","5,837,792","5,496,256","4,538,576","5,171,773","5,622,004","6,220,272","6,813,493","7,966,130","8,542,655","9,086,223","10,961,763"
"Jacksonville, FL",A,"259,534","210,420","353,154","403,051","409,232","504,389","481,745","394,106","442,382","575,770","717,379","834,164","914,967","1,702,897","1,920,051","1,831,230","1,945,913","2,142,835"
"Kodiak, AK",AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake Charles, LA",G,0,0,"3,624","2,815",69,441,27,519,412,717,"3,807","2,340","3,117",110,627,913,"13,294","1,718"
"Long Beach, CA",P,"14,900,629","14,354,785","14,892,021","14,389,900","18,059,900","21,130,156","23,753,345","23,095,933","19,314,070","14,854,970","17,904,791","17,842,560","18,190,848","21,013,956","22,376,527","22,630,974","21,043,554","23,730,349"
"Longview, WA",P,0,0,0,0,0,16,0,614,"7,707","1,118","2,273",560,146,48,0,0,"1,104",58
"Los Angeles, CA",P,"15,568,008","16,221,034","19,307,108","21,510,319","23,149,410","22,938,745","26,999,878","26,505,417","25,269,730","21,689,106","23,502,371","24,635,986","24,949,485","23,914,765","25,402,273","23,974,560","26,316,639","26,272,961"
"Mayaguez, PR",PR,"42,110","43,352","52,810","53,753","60,498","65,436","71,676","71,925","61,831","38,371","47,866","30,143","33,937","20,980","6,595",0,0,0
"Miami, FL",A,"3,033,222","3,119,778","3,623,014","3,741,957","4,141,083","3,950,136","3,955,994","2,975,330","2,574,809","2,310,557","2,379,356","2,571,517","2,626,769","2,895,457","3,144,408","3,680,764","3,751,318","3,881,166"
"Mobile, AL",G,"53,182","63,147","58,235","51,962","75,967","110,980","218,469","274,615","278,880","270,380","282,770","417,846","446,681","571,650","595,590","772,719","893,482","1,216,274"
